State,Primary NAICS,NatureTitle,EventTitle,SourceTitle,Hospitalized,Amputation,Inspection,anomaly_flag,anomaly_score,combo_count,combo_rarity_index,review_hints
WISCONSIN,561320,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ",Gymnasium and exercise equipment,0.0,1.0,,0,-0.014042,2,0.5,rare_combo
LOUISIANA,311615,Amputations,"Contact with objects and equipment, unspecified",Butchering machinery,0.0,1.0,1019084.0,0,-0.01761,7,0.142857,none
FLORIDA,447110,"Traumatic injuries and disorders, unspecified","Pedestrian struck by vehicle in nonroadway area, unspecified",Automobile,1.0,0.0,,0,-0.011143,1,1.0,rare_combo
PENNSYLVANIA,321219,Amputations,Struck against moving part of machinery or equipment,Climate control systems,0.0,1.0,1017479.0,0,-0.019267,1,1.0,rare_combo
TEXAS,321918,Amputations,Struck against moving part of machinery or equipment,"Saws-powered, except chainsaws",0.0,1.0,1017113.0,0,-0.014079,4,0.25,none
LOUISIANA,237990,"Puncture wounds, except gunshot wounds",Stepped on object ,"Nails, brads, tacks, nuts, bolts, washers",1.0,0.0,,0,-0.014589,2,0.5,rare_combo
MISSISSIPPI,331210,Fractures,Other fall to lower level 6 to 10 feet,"Ladders, unspecified",1.0,0.0,1018184.0,0,-0.016035,2,0.5,rare_combo
NEW JERSEY,521110,Fractures,Fall on same level due to tripping on uneven surface,Ground irregularity,1.0,0.0,,0,-0.017426,1,1.0,rare_combo
TEXAS,331222,Amputations,"Contact with objects and equipment, unspecified","Extruding, injecting, forming, molding machinery, n.e.c.",1.0,1.0,1016644.0,0,-0.022059,1,1.0,rare_combo
OHIO,238990,Fractures,Struck by object falling from vehicle or machinery-other than vehicle part,"Bars, rods, reinforcing bar (rebar)",1.0,0.0,1016580.0,0,-0.015845,3,0.333333,rare_combo
ILLINOIS,445110,"Avulsions, enucleations","Struck by swinging or slipping object, other than handheld, unspecified  ","Packaging, wrapping, bundling machinery",1.0,0.0,1016449.0,0,-0.013009,1,1.0,rare_combo
FLORIDA,488119,Amputations,Compressed or pinched by shifting objects or equipment,"Cart, dolly, hand truck-nonpowered",0.0,1.0,,0,-0.014735,2,0.5,rare_combo
NEW JERSEY,515210,"Soreness, pain, hurt-nonspecified injury",Other jump to lower level 26 to 30 feet,Extension ladders,1.0,0.0,1016218.0,0,-0.007755,2,0.5,rare_combo
NEBRASKA,561720,Fractures,"Caught in running equipment or machinery during maintenance, cleaning ","Conveyors-powered, unspecified",1.0,0.0,1005508.0,0,-0.011742,2,0.5,rare_combo
FLORIDA,311411,Fractures,"Roadway noncollision incident, n.e.c.","Forklift, order picker, platform truck-powered",1.0,0.0,1016698.0,0,-0.015388,2,0.5,rare_combo
NEW HAMPSHIRE,623210,"Asphyxiations, strangulations, suffocations",Strangulation by other person,Patient ,1.0,0.0,1016944.0,0,-0.022493,1,1.0,rare_combo
KANSAS,311812,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ",Conveyors-chain,0.0,1.0,1016974.0,0,-0.009541,2,0.5,rare_combo
MISSISSIPPI,325311,Amputations,Compressed or pinched by shifting objects or equipment,"Train, locomotive, rail car, unspecified",1.0,1.0,,0,-0.01697,1,1.0,rare_combo
FLORIDA,445110,Amputations,Struck against moving part of machinery or equipment,Food slicers,0.0,1.0,1016850.0,0,-0.021806,23,0.043478,none
WISCONSIN,622110,"Major tears to muscles, tendons, ligaments",Slip on substance without fall,"Bodily motion or position of injured, ill worker",1.0,0.0,,0,-0.009392,1,1.0,rare_combo
TEXAS,213112,"Fractures and other injuries, n.e.c.","Other fall to lower level, unspecified","Ladders, unspecified",1.0,0.0,,0,-0.018643,6,0.166667,none
MASSACHUSETTS,517911,"Intracranial injuries, unspecified",Fall on same level due to slipping ,"Parking lot, unspecified",1.0,0.0,,0,-0.015839,1,1.0,rare_combo
ARKANSAS,324110,"Burns and corrosions, unspecified","Exposure to harmful substances or environments, unspecified",Nonclassifiable,1.0,0.0,1017067.0,0,-0.017541,1,1.0,rare_combo
OHIO,331111,Second degree heat (thermal) burns,Contact with hot objects or substances,"Fire, flame",1.0,0.0,1016457.0,0,-0.010131,1,1.0,rare_combo
ILLINOIS,331111,Fractures,"Fall on same level, unspecified",Railroad tracks,1.0,0.0,,0,-0.021336,3,0.333333,rare_combo
MICHIGAN,491110,"Traumatic injuries to spinal cord, unspecified","Sudden start or stop, nonroadway","Forklift, order picker, platform truck-powered",1.0,0.0,1018200.0,0,-0.019053,1,1.0,rare_combo
IDAHO,321113,Amputations,Fall on same level due to slipping ,"Handrails, banisters",0.0,1.0,,0,-0.018973,4,0.25,none
GEORGIA,423850,Fractures,Other fall to lower level less than 6 feet,"Highway vehicle, motorized, unspecified",1.0,0.0,,0,-0.013161,1,1.0,rare_combo
FLORIDA,721110,Amputations,Struck by or caught in swinging door or gate,"Doors, except garage and vehicle",0.0,1.0,1016556.0,0,-0.0119,7,0.142857,none
MISSOURI,331521,"Heat (thermal) burns, unspecified",Contact with hot objects or substances,"Molten or hot metals, slag",1.0,0.0,1016928.0,0,-0.011574,1,1.0,rare_combo
OKLAHOMA,622310,Fractures,Fall on same level due to slipping ,"Floor, n.e.c.",1.0,0.0,1021031.0,0,-0.019973,1,1.0,rare_combo
TEXAS,237120,Fractures,Other jump to lower level less than 6 feet,Trailers,1.0,0.0,,0,-0.010443,22,0.045455,none
ILLINOIS,322211,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ","Packaging, wrapping, bundling machinery",0.0,1.0,1017673.0,0,-0.012136,3,0.333333,rare_combo
NEW YORK,622110,Fractures,Fall on same level due to tripping over an object ,"Floor, n.e.c.",1.0,0.0,,0,-0.013257,18,0.055556,none
LOUISIANA,561210,Concussions,"Hitting, kicking, beating, shoving",Inmate or detainee in custody,1.0,0.0,,0,-0.017207,1,1.0,rare_combo
NEW YORK,325411,"Traumatic injuries and disorders, unspecified",Part of occupants body caught between vehicle and other object in nonroadway transport incident,Powered industrial carrier,1.0,0.0,1016261.0,0,-0.001563,1,1.0,rare_combo
TEXAS,238290,"Traumatic injuries and disorders, unspecified",Other fall to lower level 11 to 15 feet ,"Ladders, unspecified",1.0,0.0,,0,-0.015694,1,1.0,rare_combo
TEXAS,213112,Amputations,Compressed or pinched by shifting objects or equipment,Pumps,0.0,1.0,,0,-0.016865,55,0.018182,none
TEXAS,321911,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ","Metal, woodworking, and special material machinery, n.e.c.",1.0,1.0,1017003.0,0,-0.012127,6,0.166667,none
NEW YORK,311421,"Chemical burns and corrosions, unspecified","Exposure through intact skin, eyes, or other exposed tissue","Sodium and potassium hydroxide, potassium carbonate",1.0,0.0,1017268.0,0,-0.011096,1,1.0,rare_combo
LOUISIANA,488390,"Traumatic injuries and disorders, unspecified",Other fall to lower level 16 to 20 feet,"Tank, bin, vat interiors, unspecified",1.0,0.0,,0,-0.020516,1,1.0,rare_combo
ILLINOIS,624120,"Intracranial injuries, unspecified",Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.012933,1,1.0,rare_combo
TEXAS,332312,Amputations,Compressed or pinched by shifting objects or equipment,"Structural metal materials, n.e.c.",0.0,1.0,1017118.0,0,-0.020092,12,0.083333,none
OHIO,221122,"Major tears to muscles, tendons, ligaments","Slip without fall, unspecified","Bodily motion or position of injured, ill worker",1.0,0.0,,0,-0.007259,1,1.0,rare_combo
PENNSYLVANIA,721110,"Cuts, lacerations","Fall on same level, n.e.c. ",Hills,1.0,0.0,,0,-0.023411,1,1.0,rare_combo
MASSACHUSETTS,339940,"Heat (thermal) burns, unspecified",Struck by discharged object or substance,"Plastics, resins, unspecified",1.0,0.0,1018437.0,0,-0.024625,1,1.0,rare_combo
NEBRASKA,112112,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ","Feed grinders, crushers, mixers-agricultural",0.0,1.0,1018067.0,0,-0.006585,1,1.0,rare_combo
TEXAS,326122,"Cuts, lacerations",Injured by object breaking in hand ,Hand grinders-powered,1.0,0.0,,0,-0.017679,1,1.0,rare_combo
WISCONSIN,561720,Amputations,"Struck by swinging or slipping object, other than handheld, n.e.c.","Machinery, n.e.c.",0.0,1.0,1018460.0,0,-0.015223,1,1.0,rare_combo
NEW YORK,321219,Amputations,"Caught in running equipment or machinery, unspecified","Other metal, woodworking, and special material machinery, unspecified",1.0,1.0,1016474.0,0,-0.016623,1,1.0,rare_combo
WISCONSIN,623110,"Other burns, unspecified",Struck by discharged object or substance,Cryogenic gases,1.0,0.0,1017619.0,0,-0.019795,1,1.0,rare_combo
FLORIDA,711212,Fractures,"Thrown, fell, or jumped from animal being ridden",Horses and other equines ,1.0,0.0,,0,-0.019806,1,1.0,rare_combo
KANSAS,926120,Fractures,Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.016857,1,1.0,rare_combo
IDAHO,713920,Fractures,"Fall on same level, unspecified",Mountains,1.0,0.0,,0,-0.021252,1,1.0,rare_combo
TEXAS,213111,Amputations,"Caught in or compressed by equipment or objects, unspecified","Parts and materials, unspecified",0.0,1.0,,0,-0.02519,21,0.047619,none
TEXAS,237990,Amputations,Nonclassifiable,Nonclassifiable,1.0,1.0,,0,-0.020884,13,0.076923,none
TEXAS,493110,Fractures,Fall on same level due to slipping ,"Parking lot, unspecified",1.0,0.0,,0,-0.020044,11,0.090909,none
COLORADO,236210,"Soreness, pain, hurt-nonspecified injury","Struck by falling object or equipment, n.e.c.",Trees,1.0,0.0,1017794.0,0,-0.01761,1,1.0,rare_combo
GEORGIA,327991,"Electrical burns, unspecified","Exposure to electricity, unspecified","Electric parts, n.e.c.",1.0,0.0,1018975.0,0,-0.01379,1,1.0,rare_combo
MAINE,488991,Fractures,"Other fall to lower level, unspecified","Stairs, steps-indoors",1.0,0.0,1016663.0,0,-0.015772,1,1.0,rare_combo
OHIO,333415,Amputations,Injured by slipping or swinging object held by injured worker,Drills-powered,0.0,1.0,1017348.0,0,-0.018735,2,0.5,rare_combo
MASSACHUSETTS,238160,"Puncture wounds, except gunshot wounds",Struck by discharged object or substance,"Nails, brads, tacks, nuts, bolts, washers",1.0,0.0,,0,-0.013294,1,1.0,rare_combo
FLORIDA,115115,"Inflammation, swelling-general",Nonclassifiable,Nonclassifiable,1.0,0.0,,0,-0.025528,1,1.0,rare_combo
FLORIDA,326212,Fractures,"Caught in running equipment or machinery during maintenance, cleaning ",Conveyors-belt,1.0,0.0,1016802.0,0,-0.015584,1,1.0,rare_combo
MISSOURI,335311,Fractures,Fall through surface or existing opening 6 to 10 feet,"Floor, n.e.c.",1.0,0.0,1016999.0,0,-0.009322,1,1.0,rare_combo
LOUISIANA,445110,"Traumatic injuries and disorders, unspecified",Fall on same level due to slipping ,"Floor, unspecified",1.0,0.0,,0,-0.025054,1,1.0,rare_combo
FLORIDA,321212,Amputations,Struck against moving part of machinery or equipment,Table saws,1.0,1.0,1020729.0,0,-0.018038,1,1.0,rare_combo
TEXAS,561612,Fractures,"Slip or trip without fall, n.e.c.","Bodily motion or position of injured, ill worker",1.0,0.0,,0,-0.012648,5,0.2,none
ILLINOIS,325510,"Soreness, pain, hurt-nonspecified injury",Fall on same level due to slipping ,"Floor, unspecified",1.0,0.0,,0,-0.022702,1,1.0,rare_combo
COLORADO,238210,"Soreness, pain, hurt-nonspecified injury",Fall on same level due to slipping ,"Bodily motion or position of injured, ill worker",1.0,0.0,,0,-0.01158,1,1.0,rare_combo
ILLINOIS,325412,"Traumatic injuries and disorders, unspecified",Fall on same level due to slipping ,"Parking lot, unspecified",1.0,0.0,,0,-0.022011,1,1.0,rare_combo
OHIO,424470,Amputations,"Contact with objects and equipment, unspecified","Food and beverage processing machinery-specialized, n.e.c.",0.0,1.0,1019806.0,0,-0.013529,2,0.5,rare_combo
ILLINOIS,331511,Amputations,"Caught in or compressed by equipment or objects, unspecified","Machinery, unspecified",0.0,1.0,1021909.0,0,-0.023911,3,0.333333,rare_combo
COLORADO,811310,"Cuts, lacerations",Injured by slipping or swinging object held by injured worker,Hand grinders-powered,1.0,0.0,1017867.0,0,-0.017066,1,1.0,rare_combo
LOUISIANA,333921,"Heat (thermal) burns, unspecified","Ignition of vapors, gases, or liquids","Paint, lacquer, shellac, varnish, unspecified",1.0,0.0,1019640.0,0,-0.014201,1,1.0,rare_combo
ILLINOIS,332116,Amputations,"Contact with objects and equipment, unspecified","Sawing machinery-stationary, unspecified",0.0,1.0,1018284.0,0,-0.020281,4,0.25,none
PENNSYLVANIA,331221,Amputations,"Caught in or compressed by equipment or objects, unspecified",Nonclassifiable,0.0,1.0,,0,-0.020872,4,0.25,none
NEW JERSEY,238210,Fractures,"Struck by falling object or equipment, n.e.c.","Wallboard, drywall, sheetrock",1.0,0.0,1017667.0,0,-0.020974,3,0.333333,rare_combo
OKLAHOMA,311999,Amputations,"Contact with objects and equipment, unspecified",Pallet jack-powered,0.0,1.0,,0,-0.008051,2,0.5,rare_combo
CONNECTICUT,236115,Fractures and dislocations,Other fall to lower level less than 6 feet,Trailers,1.0,0.0,1017271.0,0,-0.014762,1,1.0,rare_combo
ILLINOIS,333298,"Soreness, pain, hurt-nonspecified injury","Struck by object or equipment, unspecified","Machine, tool, and electric parts, unspecified",1.0,0.0,,0,-0.021081,1,1.0,rare_combo
GEORGIA,325188,Fractures,Other fall to lower level 6 to 10 feet,"Machinery, unspecified",1.0,0.0,,0,-0.016188,1,1.0,rare_combo
GEORGIA,236220,Fractures,Other fall to lower level 6 to 10 feet,"Ladders, unspecified",1.0,0.0,1018035.0,0,-0.017107,7,0.142857,none
WEST VIRGINIA,541620,Fractures,"Other fall to lower level, unspecified","Tanks, bins, vats-nonconfined space",1.0,0.0,,0,-0.018568,1,1.0,rare_combo
GEORGIA,327121,Amputations,"Caught in running equipment or machinery, unspecified",Milling machines,0.0,1.0,1018334.0,0,-0.018933,2,0.5,rare_combo
PENNSYLVANIA,331512,"Intracranial injuries, unspecified",Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.012964,1,1.0,rare_combo
TEXAS,238220,"Soreness, pain, hurt-nonspecified injury",Struck against moving part of machinery or equipment,"Sawing machinery-stationary, n.e.c.",1.0,0.0,,0,-0.024269,8,0.125,none
MISSISSIPPI,451110,"Soreness, pain, hurt-nonspecified injury",Other fall to lower level 6 to 10 feet,"Ladders, unspecified",1.0,0.0,,0,-0.017554,2,0.5,rare_combo
NEW YORK,336322,"Heat (thermal) burns, unspecified","Struck against object or equipment, unspecified",Plastic injection molding machinery,1.0,0.0,,0,-0.023314,1,1.0,rare_combo
MISSOURI,425120,"Intracranial injuries, unspecified","Struck by powered vehicle-nontransport, n.e.c.","Forklift, order picker, platform truck-powered",1.0,0.0,1017699.0,0,-0.012667,1,1.0,rare_combo
MASSACHUSETTS,491110,"Abrasions, scratches",Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.015354,1,1.0,rare_combo
NORTH DAKOTA,237310,"Chemical burns and corrosions, unspecified","Exposure through intact skin, eyes, or other exposed tissue",Sulfuric acid,1.0,0.0,1018991.0,0,-0.009003,1,1.0,rare_combo
PENNSYLVANIA,237120,"Cuts, lacerations","Fall to lower level, unspecified","Train, locomotive, rail car, unspecified",1.0,0.0,,0,-0.016994,1,1.0,rare_combo
NEW YORK,236118,Fractures,Other fall to lower level 6 to 10 feet,"Roof trusses, joists",1.0,0.0,1016480.0,0,-0.016254,2,0.5,rare_combo
COLORADO,484110,"Traumatic injuries and disorders, unspecified",Compressed or pinched by shifting objects or equipment,"Semi, tractor-trailer, tanker truck",1.0,0.0,1017302.0,0,-0.009129,1,1.0,rare_combo
NEBRASKA,236220,Fractures,"Fall, slip, trip, unspecified ","Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.010724,4,0.25,none
ILLINOIS,444110,"Soreness, pain, hurt-nonspecified injury",Compressed or pinched by shifting objects or equipment,"Forklift, order picker, platform truck-powered",1.0,0.0,1017015.0,0,-0.016537,2,0.5,rare_combo
TEXAS,561320,Fractures,Other fall to lower level less than 6 feet,"Tables, worktables",1.0,0.0,,0,-0.013416,12,0.083333,none
TEXAS,452111,Fractures,Fall on same level due to tripping over an object ,"Floor, n.e.c.",1.0,0.0,,0,-0.016062,7,0.142857,none
TEXAS,213112,"General symptoms, unspecified",Nonclassifiable,Oil storage tank interiors,1.0,0.0,1016381.0,0,-0.025622,1,1.0,rare_combo
TEXAS,562111,Fractures,Other fall to lower level 6 to 10 feet,Utility and telephone poles,1.0,0.0,,0,-0.019224,4,0.25,none
OHIO,332117,Amputations,Caught in running equipment or machinery during regular operation,"Lathes, unspecified",1.0,1.0,1020010.0,0,-0.017702,1,1.0,rare_combo
NEW JERSEY,423830,"Soreness, pain, hurt-nonspecified injury","Contact with objects and equipment, unspecified",Routers and molders-powered,1.0,0.0,1017365.0,0,-0.024869,1,1.0,rare_combo
ARKANSAS,326130,Fractures,"Caught in running equipment or machinery during maintenance, cleaning ","Packaging, bottling, wrapping machinery, unspecified",1.0,0.0,,0,-0.008458,1,1.0,rare_combo
LOUISIANA,623110,"Puncture wounds, except gunshot wounds","Other animal bites, nonvenomous","Dogs, canines-domestic",1.0,0.0,,0,-0.015276,1,1.0,rare_combo
PENNSYLVANIA,332410,Amputations,Compressed or pinched by shifting objects or equipment,"Chains, n.e.c.",0.0,1.0,1020024.0,0,-0.015101,2,0.5,rare_combo
PENNSYLVANIA,423320,"Soreness, pain, hurt-nonspecified injury","Nonroadway noncollision incident, n.e.c.","Forklift, order picker, platform truck-powered",1.0,0.0,,0,-0.013537,2,0.5,rare_combo
OKLAHOMA,326211,Fractures,"Caught in running equipment or machinery, unspecified","Machinery, unspecified",1.0,0.0,1020040.0,0,-0.020217,1,1.0,rare_combo
MONTANA,484110,Fractures,Struck by or caught in swinging door or gate,Liftgates,1.0,0.0,1019688.0,0,-0.013976,1,1.0,rare_combo
OHIO,484230,"Cuts, lacerations",Injured by slipping or swinging object held by injured worker,"Saws-powered, except chainsaws",1.0,0.0,1017744.0,0,-0.009327,2,0.5,rare_combo
LOUISIANA,541310,Fractures,Other fall to lower level less than 6 feet,Extension ladders,1.0,0.0,,0,-0.018741,1,1.0,rare_combo
MISSISSIPPI,321212,"Heat (thermal) burns, unspecified",Contact with hot objects or substances,"Scrap, waste, debris, n.e.c.",1.0,0.0,1020045.0,0,-0.01101,1,1.0,rare_combo
NORTH CAROLINA,928120,Amputations,"Caught in running equipment or machinery during maintenance, cleaning ",Helicopter,0.0,1.0,1018052.0,0,-0.016226,1,1.0,rare_combo
ILLINOIS,331221,"Puncture wounds, except gunshot wounds","Struck by discharged or flying object, unspecified","Nails, brads, tacks, nuts, bolts, washers",1.0,0.0,1011122.0,0,-0.01246,1,1.0,rare_combo
MICHIGAN,491110,"Intracranial injuries, unspecified",Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.012663,1,1.0,rare_combo
FLORIDA,237310,Fractures,"Fall on same level, n.e.c. ","Ground, unspecified",1.0,0.0,,0,-0.017034,9,0.111111,none
WISCONSIN,551114,Fractures,Fall on same level due to tripping over an object ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.014047,1,1.0,rare_combo
GEORGIA,424470,Amputations,Struck against moving part of machinery or equipment,Band saws,0.0,1.0,1018322.0,0,-0.01825,2,0.5,rare_combo
PENNSYLVANIA,551114,Fractures,"Fall on same level, unspecified","Floor, unspecified",1.0,0.0,,0,-0.027482,1,1.0,rare_combo
TEXAS,238910,"Traumatic injuries and disorders, unspecified","Other fall to lower level, unspecified","Boring, drilling, planing, milling machinery, unspecified",1.0,0.0,,0,-0.014332,6,0.166667,none
DELAWARE,928110,Fractures,Fall on same level due to slipping ,"Parking lot, unspecified",1.0,0.0,,0,-0.018978,1,1.0,rare_combo
ARKANSAS,423120,"Cuts, lacerations","Caught in running equipment or machinery, unspecified","Product assembly machinery, n.e.c.",1.0,0.0,,0,-0.01803,1,1.0,rare_combo
OKLAHOMA,238310,Crushing injuries,"Struck by falling object or equipment, n.e.c.","Wallboard, drywall, sheetrock",1.0,0.0,1016803.0,0,-0.016877,1,1.0,rare_combo
CALIFORNIA,238990,Multiple nonspecified injuries and disorders,Other fall to lower level 6 to 10 feet,"Ladders, n.e.c.",1.0,0.0,,0,-0.01956,1,1.0,rare_combo
NEW YORK,238210,Amputations,Injured by slipping or swinging object held by injured worker,Box cutters and razor knives,0.0,1.0,,0,-0.014547,7,0.142857,none
TEXAS,311920,Amputations,"Caught in running equipment or machinery, n.e.c.","Conveyors-screw, auger",1.0,1.0,1018328.0,0,-0.02113,1,1.0,rare_combo
NORTH DAKOTA,488999,Amputations,Struck by or caught in swinging door or gate,"Doors, except garage and vehicle",0.0,1.0,,0,-0.010072,1,1.0,rare_combo
NORTH DAKOTA,492110,Fractures,Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.015531,1,1.0,rare_combo
OKLAHOMA,484121,Amputations,"Struck by falling object or equipment, unspecified","Ramps, loading docks, dock plates",1.0,1.0,,0,-0.007909,3,0.333333,rare_combo
TEXAS,238190,Fractures,Other fall to lower level 6 to 10 feet,"Ladders, unspecified",1.0,0.0,,0,-0.018347,2,0.5,rare_combo
TEXAS,326291,Amputations,"Struck against stationary object or equipment, n.e.c.","Parts and materials, unspecified",0.0,1.0,,0,-0.023439,1,1.0,rare_combo
COLORADO,452910,"Soreness, pain, hurt-nonspecified injury","Caught in running equipment or machinery during maintenance, cleaning ",Conveyors-belt,1.0,0.0,1020314.0,0,-0.016035,3,0.333333,rare_combo
ILLINOIS,311612,Amputations,Nonclassifiable,Nonclassifiable,1.0,1.0,1017747.0,0,-0.021905,5,0.2,none
KANSAS,812332,Fractures,Fall on same level due to tripping over an object ,"Floor, unspecified",1.0,0.0,1016962.0,0,-0.014323,1,1.0,rare_combo
NEW JERSEY,325998,"Cuts, lacerations","Contact with objects and equipment, unspecified",Shearing machines,1.0,0.0,1018430.0,0,-0.017793,1,1.0,rare_combo
GEORGIA,448130,Amputations,"Contact with objects and equipment, unspecified","Machinery, unspecified",0.0,1.0,1018780.0,0,-0.022043,1,1.0,rare_combo
PENNSYLVANIA,928110,Fractures,Fall on same level due to slipping ,"Parking lot, unspecified",1.0,0.0,,0,-0.019553,1,1.0,rare_combo
ILLINOIS,445110,Amputations,Struck against moving part of machinery or equipment,Band saws,0.0,1.0,1017621.0,0,-0.019741,5,0.2,none
TEXAS,493190,"Traumatic injuries and disorders, unspecified","Other fall to lower level, unspecified","Ladders, unspecified",1.0,0.0,1017786.0,0,-0.022524,1,1.0,rare_combo
NORTH CAROLINA,928110,Amputations,"Contact with objects and equipment, unspecified",Nonclassifiable,1.0,1.0,,0,-0.016055,1,1.0,rare_combo
TEXAS,447110,"Heat (thermal) burns, unspecified",Contact with hot objects or substances,"Ranges, cooking ovens, grills, toasters, food warmers",1.0,0.0,,0,-0.016208,2,0.5,rare_combo
NEBRASKA,325314,"Soreness, pain, hurt-nonspecified injury",Other fall to lower level 6 to 10 feet,"Ladders, unspecified",1.0,0.0,1018329.0,0,-0.017112,2,0.5,rare_combo
TEXAS,331221,Amputations,Injured by slipping or swinging object held by injured worker,Hand grinders-powered,0.0,1.0,,0,-0.018102,2,0.5,rare_combo
NEW JERSEY,441310,"Traumatic injuries and disorders, unspecified","Other fall to lower level, unspecified","Ladders, unspecified",1.0,0.0,,0,-0.021822,1,1.0,rare_combo
AMERICAN SAMOA,311711,Crushing injuries,Caught in running equipment or machinery during regular operation,"Food and beverage processing machinery-specialized, n.e.c.",1.0,0.0,,0,-0.013753,1,1.0,rare_combo
OHIO,325180,"Soreness, pain, hurt-nonspecified injury","Caught in running equipment or machinery, unspecified",Conveyors-belt,1.0,0.0,1020524.0,0,-0.019554,1,1.0,rare_combo
NEW JERSEY,811310,"Cuts, lacerations","Struck by discharged or flying object, unspecified",Hoses,1.0,0.0,,0,-0.021458,1,1.0,rare_combo
MISSISSIPPI,322130,Fractures,"Struck by swinging or slipping object, other than handheld, n.e.c.","Paper production machinery, unspecified",1.0,0.0,1017777.0,0,-0.016113,2,0.5,rare_combo
TEXAS,441110,Fractures,"Fall on same level, n.e.c. ","Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.014944,4,0.25,none
PENNSYLVANIA,322214,Amputations,Caught in running equipment or machinery during regular operation,"Metal, woodworking, and special material machinery, unspecified",1.0,1.0,1019333.0,0,-0.015277,1,1.0,rare_combo
OHIO,423830,Fractures,"Other fall to lower level, unspecified","Ladders, unspecified",1.0,0.0,1022044.0,0,-0.021677,2,0.5,rare_combo
NEBRASKA,445292,"Traumatic injuries and disorders, unspecified",Part of occupants body caught between vehicle and other object in nonroadway transport incident,"Truck-motorized freight hauling and utility, unspecified",1.0,0.0,1017253.0,1,0.006566,1,1.0,rare_combo
TEXAS,336212,Amputations,Injured by slipping or swinging object held by injured worker,Band saws,0.0,1.0,,0,-0.019337,2,0.5,rare_combo
GEORGIA,522110,Fractures,Fall on same level due to slipping ,"Floor, n.e.c.",1.0,0.0,,0,-0.021786,2,0.5,rare_combo
